RequestID,DateSubmitted,Category,CustomerID,Status
1204,02/10/2020,Sales,438-60-0040,In Progress
1205,03/15/2020,Order Management,895-67-0931,Resolved
1206,08/03/2020,Sales,201-95-0668,Resolved
1207,04/04/2020,Technical Issue,266-67-0644,In Progress
1208,02/07/2020,Sales,286-80-0645,In Progress
1209,02/29/2020,Order Management,460-49-0421,Resolved
1210,11/03/2020,Sales,101-02-0426,New
1211,09/25/2020,Sales,438-77-0964,In Progress
1212,09/24/2020,Technical Issue,008-33-0177,Resolved
1213,07/23/2020,Sales,086-36-0538,Resolved
1214,04/06/2020,Sales,049-10-0131,New
1215,03/23/2020,Order Management,370-12-0723,Resolved
1216,01/31/2020,Order Management,077-96-0299,New
1217,10/28/2020,Sales,378-98-0931,Resolved
1218,04/20/2020,Technical Issue,319-56-0745,New
1219,08/06/2020,Order Management,634-10-0152,In Progress
1220,03/22/2020,Sales,320-71-0684,Resolved
1221,05/10/2020,Order Management,034-17-0409,New
1222,09/30/2020,Technical Issue,131-27-0055,In Progress
1223,01/05/2020,Order Management,651-86-0428,In Progress
1224,06/18/2020,Order Management,031-60-0557,Resolved
1225,08/23/2020,Technical Issue,459-41-0964,New
1226,07/04/2020,Sales,439-24-0014,Resolved
1227,10/03/2020,Technical Issue,728-60-0121,New
1228,06/23/2020,Technical Issue,789-09-0684,In Progress
1229,02/27/2020,Order Management,001-88-0418,Resolved
1230,07/04/2020,Technical Issue,300-45-0875,Resolved
1231,07/05/2020,Technical Issue,453-84-0195,New
1232,08/19/2020,Order Management,287-38-0531,New
1233,06/16/2020,Order Management,723-04-0424,New
1234,04/08/2020,Order Management,803-12-0740,In Progress
1235,03/27/2020,Technical Issue,066-85-0869,New
1236,07/19/2020,Sales,726-92-0152,Resolved
1237,05/22/2020,Technical Issue,240-54-0461,Resolved
1238,05/09/2020,Sales,330-97-0542,Resolved
1239,01/10/2020,Sales,031-86-0634,In Progress
1240,10/16/2020,Order Management,420-85-0996,In Progress
1241,04/20/2020,Order Management,196-88-0949,Resolved
1242,06/15/2020,Technical Issue,541-23-0892,New
1243,09/14/2020,Order Management,765-73-0683,Resolved
1244,06/18/2020,Technical Issue,198-58-0749,New
1245,08/20/2020,Sales,429-61-0865,Resolved
1246,11/02/2020,Order Management,101-07-0997,In Progress
1247,05/29/2020,Technical Issue,772-55-0326,Resolved
1248,05/19/2020,Technical Issue,310-59-0798,New
1249,08/31/2020,Order Management,778-82-0855,In Progress
1250,03/23/2020,Technical Issue,476-35-0026,New
1251,08/28/2020,Technical Issue,512-13-0950,Resolved
1252,04/24/2020,Order Management,816-91-0342,Resolved
1253,08/10/2020,Order Management,189-58-0897,New
1254,06/27/2020,Technical Issue,034-20-0543,In Progress
1255,03/22/2020,Technical Issue,851-83-0042,In Progress
1256,10/21/2020,Sales,016-24-0364,New
1257,06/23/2020,Sales,148-28-0752,Resolved
1258,11/24/2020,Technical Issue,595-94-0709,New
1259,01/05/2020,Technical Issue,406-76-0803,New
1260,07/02/2020,Sales,189-47-0641,Resolved
1261,10/14/2020,Sales,195-62-0703,In Progress
1262,07/07/2020,Order Management,858-08-0305,Resolved
1263,01/24/2020,Order Management,709-81-0741,In Progress
1264,05/29/2020,Order Management,401-74-0557,In Progress
1265,08/04/2020,Sales,526-46-0661,In Progress
1266,08/01/2020,Sales,866-39-0166,In Progress
1267,09/23/2020,Sales,123-32-0283,Resolved
1268,11/18/2020,Technical Issue,238-67-0684,Resolved
