id,company,purchasing_dept,contactname,segment,email,industry,State,County,Zip_Code
CID000-342,Suspendisse Tristique Corporation,Media Relations,Martena Williams,SMB,Martena.Williams@Suspendisse-Tristique-Corporation.com,Retail & Wholesale,UT,Tooele,84074
CID000-343,Lobortis Incorporated,Human Resources,Daryl Estes,Enterprise,Daryl.Estes@Lobortis-Incorporated.com,Insurance,AR,Faulkner,72058
CID000-344,Nec Eleifend Foundation,Media Relations,Flavia Woodward,Enterprise,Flavia.Woodward@Nec-Eleifend-Foundation.com,Entertainment,OH,Delaware,43015
CID000-345,Euismod Mauris Eu Company,Tech Support,Quynn Gallagher,SMB,Quynn.Gallagher@Euismod-Mauris-Eu-Company.com,Non-Profit,CO,Pueblo,81004
CID000-346,Purus Duis Institute,Customer Relations,Guy Walters,Enterprise,Guy.Walters@Purus-Duis-Institute.com,Technology,NJ,MONMOUTH,7748
CID000-347,Enim LLP,Payroll,Rhiannon Vargas,Mid-Market,Rhiannon.Vargas@Enim-LLP.com,Consumer Goods,AZ,Maricopa,85379
CID000-348,Varius Et Foundation,Customer Relations,Oliver Foreman,SMB,Oliver.Foreman@Varius-Et-Foundation.com,Healthcare,VA,Fairfax,20171
CID000-349,In Consequat Enim Associates,Finances,Jaime Adkins,Mid-Market,Jaime.Adkins@In-Consequat-Enim-Associates.com,Technology,CO,Denver,80239
CID000-350,Sagittis Industries,Public Relations,Wade Norman,SMB,Wade.Norman@Sagittis-Industries.com,Insurance,NY,Erie,14211
CID000-351,Fermentum Corp.,Advertising,Stephanie Burgess,Enterprise,Stephanie.Burgess@Fermentum-Corp..com,Entertainment,NY,Nassau,11010
CID000-352,Arcu Nunc Mauris Institute,Public Relations,Daniel Floyd,SMB,Daniel.Floyd@Arcu-Nunc-Mauris-Institute.com,Non-Profit,OH,Richland,44865
CID000-353,Sagittis Lobortis Mauris Inc.,Finances,Orla Finch,Enterprise,Orla.Finch@Sagittis-Lobortis-Mauris-Inc..com,Transportation,NM,Sandoval,87144
CID000-354,Et Netus Incorporated,Quality Assurance,Lael Whitfield,SMB,Lael.Whitfield@Et-Netus-Incorporated.com,Finance,AR,Benton,72756
CID000-355,Pede Institute,Tech Support,Armand Cantrell,Mid-Market,Armand.Cantrell@Pede-Institute.com,Pharmaceuticals,VA,King William,23069
