SalesID,Date,Revenue,Department,Region,Sales Person,Postal Code,Store City
2433364,16/11/2016,733,Groceries,French Southern Territories,"Stanley, Nero V.",21354,Rae Bareli
2433365,09/11/2016,5448,Groceries,Saint Barthélemy,"Lane, Cara K.",4202,Castel Giorgio
2433366,25/11/2016,1187,Household Appliances,Guatemala,"Spence, Lucius C.",69845,Lansing
2433367,22/11/2016,3314,Household Appliances,Argentina,"Hoffman, Alexis N.",92957,Chesterfield
2433368,08/11/2016,5781,Groceries,Albania,"Mcconnell, Leigh E.",49347,Covington
2433369,06/11/2016,4143,Groceries,Austria,"Benson, Maite F.",264305,Lapscheure
2433370,25/11/2016,9498,Household Appliances,Reunion,"Hughes, Laith H.",4679,Contagem
2433371,11/11/2016,8049,Electronics,Paraguay,"Bradford, Keefe U.",58840,Anand
2433372,04/11/2016,1142,Electronics,Chile,"Stone, Jared N.",3977,GŽrouville
2433373,29/11/2016,2205,Groceries,Macedonia,"Daniels, Kiayada U.",49082,Montenero Val Cocchiara
2433374,01/11/2016,4914,Electronics,Senegal,"Gibson, Hollee I.",30309,Lauterach
2433375,09/11/2016,5271,Electronics,Macedonia,"Madden, Connor X.",503138,Gävle
2433376,15/11/2016,8041,Electronics,Benin,"Shepard, Axel P.",71918,Portland
2433377,20/11/2016,9905,Electronics,Christmas Island,"Keller, Rudyard S.",467387,Lidköping
2433378,20/11/2016,7483,Household Appliances,Serbia,"Padilla, Jeremy M.",41184,Springfield
2433379,26/11/2016,3482,Household Appliances,Syria,"Gamble, Macey N.",5835,Merritt
2433380,28/11/2016,3266,Electronics,El Salvador,"Bass, Dexter A.",766589,Maule
2433381,19/11/2016,9489,Electronics,Liechtenstein,"Rodriquez, Adrienne J.",440914,Matera
2433382,11/11/2016,6465,Groceries,Belgium,"Keith, Deborah W.",347157,Forfar
2433383,20/11/2016,6382,Household Appliances,Pitcairn Islands,"Coffey, Ian D.",03818-165,Dera Ghazi Khan
2433384,23/11/2016,5468,Household Appliances,Switzerland,"Campos, Samuel U.",8761,Senneville
2433385,10/11/2016,9753,Household Appliances,Palau,"Oneill, Benedict Z.",63253,Minitonas
2433386,08/11/2016,2774,Household Appliances,Norfolk Island,"Snow, Audrey W.",57229-421,West Vancouver
2433387,15/11/2016,185,Groceries,Qatar,"Macdonald, Benedict U.",1161,Boninne
2433388,11/11/2016,1059,Electronics,San Marino,"Savage, Imani I.",51204,Guardia Perticara
2433389,29/11/2016,7893,Electronics,Falkland Islands,"Pratt, Yasir R.",1007,Port Moody
2433390,11/11/2016,6532,Groceries,Togo,"Gray, Thor X.",832298,Bovesse
2433391,14/11/2016,2786,Household Appliances,Yemen,"Hayes, Quentin X.",7453,Igboho
2433392,12/11/2016,8968,Household Appliances,Pitcairn Islands,"Schmidt, Meghan P.",4021,Bracknell
2433393,20/11/2016,5236,Electronics,Antigua and Barbuda,"Jacobs, David H.",215407,Essex
2433394,23/11/2016,9397,Groceries,"Bonaire, Sint Eustatius and Saba","Villarreal, Winter G.",84728,Stornaway
2433395,07/11/2016,4510,Electronics,Belarus,"Jennings, Sharon V.",54749,Rajapalaiyam
2433396,10/11/2016,6144,Household Appliances,Faroe Islands,"Guy, Galena P.",2267,Okigwe
2433397,19/11/2016,2381,Groceries,Romania,"Freeman, Josiah X.",10-610,Sialkot
2433398,13/11/2016,9752,Groceries,Mexico,"Mckinney, Jacob K.",44946-885,Salem
2433399,10/11/2016,4057,Groceries,Egypt,"Casey, Anika F.",37307-094,Turgutlu
2433400,01/11/2016,7536,Groceries,Libya,"Hays, Lana X.",T3L 4Z3,Bodmin
2433401,25/11/2016,1761,Electronics,Uganda,"Key, Myra P.",O7 3LH,San Benedetto del Tronto
2433402,15/11/2016,1591,Household Appliances,Svalbard and Jan Mayen Islands,"Sharpe, Megan E.",34513,Rugby
2433403,01/11/2016,6670,Household Appliances,Tuvalu,"Porter, Kristen U.",10466,Catanzaro
2433404,25/11/2016,2374,Electronics,Australia,"Davis, Moses O.",67205,Abbotsford
2433405,17/11/2016,1441,Electronics,Eritrea,"Warner, Brenda O.",43301,Nelson
2433406,05/11/2016,5572,Household Appliances,Sint Maarten,"Hull, Quinn Q.",197047,Honolulu
2433407,17/11/2016,6098,Groceries,Cameroon,"Spears, Brandon J.",1550DP,Bolinne
