Date,Transaction Amount,Department,Cashier,Store ZIP,Store City,Store Region
01/01/2016,1911,Household Appliances,"Booker, Nomlanga N.",61480-838,Vespolate,Monaco
01/01/2016,2203,Groceries,"Cain, Larissa T.",86395,Palayankottai,Timor-Leste
01/01/2016,4810,Electronics,"Calhoun, Hollee H.",371558,Armo,Guatemala
01/01/2016,1017,Groceries,"Cardenas, Lois W.",261349,Uitbergen,Albania
01/01/2016,1966,Electronics,"Cash, Isabella C.",6300YS,Loreto,Western Sahara
01/01/2016,7984,Groceries,"Castillo, Orli A.",58349,Rhyl,Peru
01/01/2016,2233,Groceries,"Chambers, Whilemina M.",38019,St. Ives,Zimbabwe
01/01/2016,4885,Groceries,"Compton, Veronica T.",3697,Santu Lussurgiu,Tuvalu
01/01/2016,1296,Groceries,"Crosby, Juliet Z.",8712,Neumünster,United States
01/01/2016,1408,Electronics,"Dale, Shay U.",2112,Roxburgh,Italy
01/01/2016,6818,Household Appliances,"Davenport, Selma P.",3132,Birori,Monaco
01/01/2016,1041,Groceries,"Dean, Vanna G.",5039,Oudenaken,Singapore
01/01/2016,6744,Groceries,"Delacruz, Quyn A.",1408QM,Emden,United States Minor Outlying Islands
01/01/2016,6170,Household Appliances,"Fischer, Katell O.",52208,Bonnyville,Gabon
01/01/2016,7891,Electronics,"Gallegos, Kimberley W.",281948,Yeovil,Guinea
01/01/2016,1548,Electronics,"Gardner, Jocelyn I.",8987GO,Hawera,Czech Republic
01/01/2016,7881,Electronics,"Golden, Ross W.",41718,Karlsruhe,Côte D'Ivoire (Ivory Coast)
01/01/2016,8960,Groceries,"Henderson, Myles G.",493437,Broechem,Latvia
01/01/2016,4466,Groceries,"Hull, Regina I.",518784,Heinsch,Curaçao
01/01/2016,2970,Electronics,"Kline, Shad J.",70510,Frutillar,Indonesia
01/01/2016,3245,Electronics,"Levine, Nola X.",7330,Burns Lake,Brazil
01/01/2016,8806,Groceries,"Massey, Garth L.",9709MC,Grafton,French Polynesia
