Email,Profile URL,City
tskirvin@sbcgobal,example, New York
mmccool@outlook.com,http://www.example.com/,Los Angeles
bonmots@sbcglobal.net,https://www.example.com/,Chicago
cgreuter@me.com,https://example,Houston[3]
icloud.com,https://www.example.p,New York
pakaste@live.com,http://example.edu/arch/act.html,Philadelphia[e]
jimmichie@mac.com,https://www.example.com/?afterthought=boy#box,San Antonio
metzzo@comcast.net,http://www.example.com/airplane.php,San Diego
gator,http://www.example.com/amusement.html,Dallas
dieman@comcast.net,https://www.example.com/bike/boundary.html,San Jose
jadavis@sbcglobal.net,https://act.example.com/authority/birthday.php,Austin
corrada@me.com,https://www.example.org/board/approval.htm?babies=blade, New York
jadavi.net,http://www.example.com/,Fort Worth
kjetilk@outlook.com,https://example.com/?arithmetic=boy&apparatus=bed,Columbus
jmorris@outlook.com,http://www.example.com/#bell,Charlotte
pontipak@verizon.net,http://ball.example.com/aunt/baseball.aspx,San Francisco[g]
jamuir@mac.com,http://example.com/air,Indianapolis[h]
eidac@comcast.net,http://boot.example.edu/bells.aspx#attraction,Seattle
cfhsoft@verizon.net,https://www.example.net/,Denver[i]
ideguy@gmail.com,http://example.com/,Washington[j]
pierce@outlook.com,https://www.example.com/,Boston
msherr@hotmail.com,https://beef.example.org/army.aspx?baby=apparatus&box=back,El Paso
delpino@yahoo.ca,http://example.com/arithmetic/brother.html?bubble=basin&bubble=arch,Nashville[k]
onestab@verizon.net,http://www.example.com/beginner,Detroit
pakaste@me.com,https://example.com/apparel/bear#brake,Oklahoma City
cgarcia@hotmail.com,http://bear.example.org/,Portland
afeldspar@msn.com,http://www.example.com/?bite=advertisement,Las Vegas
kdawson@verizon.net,https://www.example.com/,Memphis
papathan@optonline.net,http://www.example.com/,Louisville[l]
fangorn@mac.com,https://www.example.org/addition.php,Baltimore[m]
psichel@yahoo.ca,http://www.example.edu/,Milwaukee
jfinke@att.net,https://www.example.com/bear.php,Albuquerque
tamas@gmail.com,https://example.com/,Tucson
dhwon@verizon.net,http://www.example.com/base,Fresno
jaxweb@hotmail.com,http://www.example.org/#arithmetic,Mesa
