id|name|surname|status
1|Zoe|Buckner|silver
2|Quintessa|Christensen|gold
3|Randall|Cobb|silver
4|Asher|Riggs|silver
5|Rooney|Ellison|platinum
6|Miriam|Gould|platinum
7|Malachi|Morales|gold
8|Kirsten|Joseph|silver
9|Nero|Ramsey|platinum
10|Daryl|Kerr|gold
11|Aphrodite|Peters|silver
12|Martha|Warner|silver
13|Barry|Tillman|bronze
14|Keane|Kemp|bronze
15|Griffith|Richardson|gold
16|Dominique|Travis|gold
17|Daria|Hartman|gold
18|Vladimir|Cooper|bronze
19|Anjolie|Arnold|platinum
20|Joy|Marquez|platinum
21|Jacqueline|Mcknight|platinum
22|Anastasia|Rodriguez|bronze
23|Yardley|Harper|platinum
24|Autumn|Lopez|silver
25|Idona|Small|silver
26|Priscilla|Carpenter|silver
27|MacKenzie|Owen|platinum
28|Amity|Galloway|platinum
29|Jaime|Pearson|gold
30|Kelsey|Pennington|bronze
31|Timon|Walker|bronze
32|Rose|Massey|gold
33|Scott|Nelson|gold
34|Vielka|Travis|gold
35|Samson|Fitzgerald|silver
36|Zachary|Walter|silver
37|Susan|Boone|gold
38|Harriet|Matthews|gold
39|Quemby|Workman|gold
40|Carolyn|Hurley|bronze
41|Patricia|Casey|platinum
42|Karen|Lindsay|platinum
43|Joelle|Horne|gold
44|Orson|Baxter|platinum
45|Erica|Benton|silver
46|Caleb|Fleming|silver
47|Sharon|Davidson|bronze
48|Felix|Terrell|platinum
49|Cassandra|Becker|gold
50|May|Klein|platinum
51|Barclay|Little|bronze
52|Yoshio|Estes|gold
53|Megan|Medina|silver
54|Beau|Schroeder|gold
55|Griffith|Osborn|bronze
56|Dominique|Larsen|bronze
57|Ezra|Maynard|silver
58|Colorado|Christian|silver
59|Xavier|Crawford|gold
60|Ora|Mcneil|silver
61|Henry|Dawson|gold
62|Michael|Mclaughlin|platinum
63|Elijah|Strong|silver
64|Tobias|Jacobson|gold
65|Rowan|Montgomery|platinum
66|Gabriel|Murphy|bronze
67|Colorado|Jones|bronze
68|Yoshi|Alston|platinum
69|Clayton|Mcfadden|gold
70|Nash|Lang|platinum
71|Anne|Ross|platinum
72|Odysseus|Hatfield|platinum
73|Lacey|Wells|silver
74|Cade|Flynn|gold
75|Amela|Vaughan|platinum
76|Dylan|Merrill|platinum
77|Zahir|Maddox|platinum
78|Griffin|Albert|silver
79|Aspen|Ingram|bronze
80|Jorden|Frazier|gold
81|Winifred|Hickman|bronze
82|Carolyn|Hawkins|platinum
83|Wallace|Potter|gold
84|Preston|Juarez|bronze
85|Tyler|Mcknight|silver
86|Kendall|Mccarthy|platinum
87|Carson|Calhoun|gold
88|Tanisha|Rocha|bronze
89|Avram|Anderson|gold
90|Price|Lewis|gold
91|Lunea|Burnett|gold
92|Jonas|Patel|platinum
93|Emery|Wade|silver
94|Jolene|Bailey|platinum
95|Kai|Rosa|gold
96|Aimee|Berry|silver
97|Holmes|Hatfield|gold
98|Zane|Rodgers|bronze
99|Geoffrey|Rice|silver
100|Gary|Macias|bronze
101|Seth|Glenn|platinum
102|Reece|Cain|platinum
103|Janna|Duran|gold
104|Orlando|Levy|silver
105|Josephine|Henry|silver
106|Audrey|Moreno|bronze
107|Grady|Larsen|bronze
108|Leo|Cooke|platinum
109|Shea|Sharp|bronze
110|Moses|Kent|gold
111|Yoshio|Bradshaw|silver
112|Reed|Wilkinson|bronze
113|Robert|Koch|platinum
114|Preston|Bernard|bronze
115|Amaya|Herrera|gold
116|Harper|Gordon|bronze
117|Jerry|Knox|platinum
118|Isadora|Mcfadden|gold
119|Connor|Hendrix|bronze
120|Prescott|Humphrey|bronze
121|Alexis|Serrano|bronze
122|Bianca|Chen|bronze
123|Melyssa|Harrell|bronze
124|Clinton|Trujillo|bronze
125|Medge|Carroll|silver
126|Margaret|Velazquez|bronze
127|Marvin|Hahn|gold
128|Linda|Padilla|platinum
129|Walker|Hurst|gold
130|Abraham|Blake|platinum
131|Rudyard|Bass|gold
132|Nell|Morgan|silver
133|Dustin|Pittman|silver
134|Blythe|Palmer|gold
135|Philip|Rios|silver
136|Ila|Harrell|bronze
137|Hop|Love|gold
138|Imelda|Wilder|silver
139|Malik|Jarvis|gold
140|Jonah|Combs|silver
141|Rowan|Parrish|silver
142|Kyra|Rivas|gold
143|Katelyn|Farley|platinum
144|Macy|Sweeney|gold
145|Rebecca|Bell|bronze
146|Willow|Everett|gold
147|Flavia|Carter|gold
148|Alyssa|Acosta|silver
149|Adrian|Kane|gold
150|Shelly|Herring|silver
151|Karyn|Weeks|silver
152|Michelle|Koch|platinum
153|Herrod|Wong|platinum
154|Ori|Mckay|silver
155|Kibo|Potter|bronze
156|Sybil|Hale|silver
157|Quentin|Huber|bronze
158|Nash|Gaines|bronze
159|Vincent|Kirkland|silver
160|Catherine|Johns|bronze
161|Madaline|Lott|platinum
162|Sophia|Dickson|platinum
163|Reed|Beach|silver
164|Noelani|Bradford|platinum
165|Thaddeus|Dickerson|platinum
166|Dale|Reyes|gold
167|Rhiannon|Hatfield|bronze
168|India|Saunders|bronze
169|Linus|Koch|bronze
170|Gretchen|English|silver
171|Destiny|Riley|silver
