ID,RECIPIENT_NAME,RECIPIENT_STREET,RECIPIENT_CITY,RECIPIENT_POSTAL,RECIPIENT_REGION,SHIPMODE,TRACEID,STATUS
663936362_D81DA874-E0CE-7486-18AD-0EB7AD88F921,Joelle E. Morgan,Ap #130-8249 Curabitur Ave,Cincinnati,97642,OH,Express,1BEAE9B3-833D-FEE6-C0D2-52CBB74A1506,IN NETWORK
663936363_CE163016-C503-7BA2-511F-94E59231B87F,Cain R. Page,552-4235 Eleifend Rd.,Bloomington,58913,Minnesota,Express,76F3E8FE-CD87-C41E-A7D3-69030D08BCFC,PENDING COLLECTION
663936364_26A1E568-60DB-1EA4-2A01-2FAD7D4228A1,Aristotle Y. Rasmussen,8656 Lectus St.,San Diego,91664,California,Next-Day,7748F73A-9E7C-FAF6-9F12-1255E5896DDE,PREPARING SHIPMENT
663936365_2ECA50C6-8A85-805C-3B34-86572B30F0C8,Samuel C. Tucker,Ap #906-5289 Eget St.,Gulfport,57752,MS,Standard,5DF6D127-B08B-D90B-1CFF-977AA8228048,IN NETWORK
663936366_7238E2EB-2BDB-FF0E-5333-B4EB72A18E4A,Cleo T. Wynn,132-623 Lobortis. St.,San Antonio,14974,TX,Next-Day,CCEF4D88-216C-51FD-D905-51B31C1ECA6A,PREPARING SHIPMENT
663936367_4EB2DE5E-F665-0965-1D1C-EAA147A17196,Christopher S. Blanchard,162-2738 Etiam Rd.,Auburn,75646,Maine,Standard,EA76EFD7-7FDB-3146-C651-A604643DCFED,IN NETWORK
663936368_7322211E-4EF1-B7CA-98D5-03878A8E2953,Patrick J. Hendricks,401-6874 Mi Street,Tampa,77002,Florida,Express,C2339966-C740-E63A-C00F-CF37A3011406,PREPARING SHIPMENT
663936369_6F2E091B-AFE3-3C97-271E-E968B8BFC21B,Medge D. Burton,733-487 Odio Rd.,Biloxi,22602,MS,Next-Day,00A63CD3-42A3-177E-4012-951465E1DF01,DELIVERED
663936370_10A4328D-7BAF-4C55-C50B-619FE4089C15,Brandon C. Buchanan,788-6227 Eget Ave,Overland Park,99783,KS,Express,BE70F3C8-4501-64EB-6EC4-AD6A0D84957B,PENDING COLLECTION
663936371_B21865C6-958D-B2EC-A940-5657BC03E463,Hector X. Wilder,"P.O. Box 999, 4780 Metus. Rd.",Baltimore,51264,Maryland,Standard,05EACF0C-1002-1E73-BB45-9A0848F2EB9F,PREPARING SHIPMENT
663936372_354AF202-331D-B89A-55CD-8384C3F71423,Thaddeus F. Carter,2917 Magna Rd.,Los Angeles,91002,California,Express,1D2B35A1-2425-DE90-266C-1B49191F4788,PREPARING SHIPMENT
663936373_6E603193-A737-F4A6-8F00-A133AC4C3496,Oscar P. Dorsey,"P.O. Box 802, 1816 Accumsan St.",Las Vegas,27689,Nevada,Standard,8AD144AA-4819-ACAB-F623-229B021BAEFC,HANDED TO CARRIER
663936374_8AD7F06A-7C8E-0D92-6401-4CEE0C35D56A,Byron V. Webb,964-3406 Dictum Rd.,South Portland,60614,Maine,Standard,5A0FD22D-253F-A1CF-312E-EEE659767C48,PREPARING SHIPMENT
663936375_4D83ABB1-D9B4-C5BD-C861-F0DFB1BC1567,Samuel I. Schmidt,155-1598 Morbi Street,Hartford,41926,CT,Express,BB834646-798B-053A-5CAC-47B3C74A1071,PENDING COLLECTION
663936376_0AEB7282-94E3-D0B7-5FAD-F45B92E4A457,Arthur N. Sandoval,"P.O. Box 449, 6729 Tincidunt, Street",Nashville,78146,Tennessee,Standard,533AFB64-AF99-7E34-A79C-AC86938DA4D7,HANDED TO CARRIER
663936377_4F2FA2C8-8EC1-404E-7EF1-6E9BBE98E451,Charity U. Lindsey,"P.O. Box 575, 3157 Vivamus St.",Hattiesburg,56480,Mississippi,Standard,7A55A3CE-ECB3-DC73-A504-AC4237C99F77,PREPARING SHIPMENT
663936378_4E7EB961-0BEA-68E8-F76D-2DAA696C4EE0,Sasha L. Benson,"Ap #822-8913 Sem, St.",Spokane,16784,Washington,Next-Day,C8918D2A-9922-BDEF-DB8E-03C8EF9D30C2,PREPARING SHIPMENT
663936379_A47562FB-278B-B2BA-CDE2-2F644F7386F2,Whilemina G. Dunn,615-970 Massa. St.,Orlando,64167,Florida,Express,CB6D72DF-5D11-E5DD-67F5-3A2020768169,DELIVERED
663936380_B2815362-672B-9DD5-5549-6E5E54E43D95,Maya D. Ward,"P.O. Box 207, 1361 Scelerisque Av.",Memphis,52413,Tennessee,Next-Day,79ECC2FF-7471-3EED-05C2-FC1234F00E00,PENDING COLLECTION
663936381_B5B08469-9B35-B10B-5B2A-F3DD007DEA24,Penelope W. Lewis,5443 Sit Street,San Diego,91032,CA,Standard,C9034E12-26D6-C3C3-461A-95E9C120860E,HANDED TO CARRIER
663936382_9CEAE3DF-7123-3299-412B-A3A943D7008A,Owen V. Ferrell,Ap #649-1291 Sit St.,Omaha,26342,NE,Standard,312B9653-796A-4F29-8BAB-73BE486C7C51,HANDED TO CARRIER
663936383_1658ACE9-D817-ABA6-2D89-902DEA8D7151,Slade X. Whitfield,939-2624 Nibh. Avenue,Billings,48967,Montana,Standard,5A6026E2-A669-2B69-061B-11840633EC72,DELIVERED
663936384_A87623EC-D1C4-D24F-A710-EE72E41C008A,Mannix G. Montgomery,Ap #956-9790 Nunc St.,Provo,65714,UT,Express,DC22178E-4DBF-3794-3544-01C69122769A,IN NETWORK
663936385_A4273DE5-89FE-D979-B4C6-2583B88C56BD,Elijah A. Frost,903-688 Arcu. Av.,Jackson,14758,MS,Express,D9D42067-D815-8465-0D0D-62EA6CA924A5,PENDING COLLECTION
